2D Navier Stokes Equation Using Finite Volume Method
Solving in parallel mode
No of Processors:	 2 	 X 2 == 	 4
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	200	 Ures: 	1.9850059299e-02	 Vres: 	5.3201765127e-01	 Pres: 	3.6151005055e-01	 
Iteration no:	201	 Ures: 	1.9598006761e-02	 Vres: 	5.3125745426e-01	 Pres: 	3.6143637180e-01	 
Iteration no:	202	 Ures: 	1.9415638175e-02	 Vres: 	5.3131478795e-01	 Pres: 	3.5884126085e-01	 
Iteration no:	203	 Ures: 	1.9302088341e-02	 Vres: 	5.3214480511e-01	 Pres: 	3.5382548087e-01	 
Iteration no:	204	 Ures: 	1.9253100845e-02	 Vres: 	5.3368543543e-01	 Pres: 	3.4653358978e-01	 
Iteration no:	205	 Ures: 	1.9261398246e-02	 Vres: 	5.3586364784e-01	 Pres: 	3.3715402413e-01	 
Iteration no:	206	 Ures: 	1.9317311333e-02	 Vres: 	5.3859258153e-01	 Pres: 	3.2591880922e-01	 
Iteration no:	207	 Ures: 	1.9409490734e-02	 Vres: 	5.4177824623e-01	 Pres: 	3.1310491128e-01	 
Iteration no:	208	 Ures: 	1.9525691180e-02	 Vres: 	5.4531749501e-01	 Pres: 	2.9903720743e-01	 
Iteration no:	209	 Ures: 	1.9653467577e-02	 Vres: 	5.4910480783e-01	 Pres: 	2.8409150251e-01	 
Iteration no:	210	 Ures: 	1.9780805572e-02	 Vres: 	5.5303066400e-01	 Pres: 	2.6870023784e-01	 
Iteration no:	211	 Ures: 	1.9896591135e-02	 Vres: 	5.5698804580e-01	 Pres: 	2.5335537120e-01	 
Iteration no:	212	 Ures: 	1.9990983345e-02	 Vres: 	5.6087083556e-01	 Pres: 	2.3861116216e-01	 
Iteration no:	213	 Ures: 	2.0055643122e-02	 Vres: 	5.6457977270e-01	 Pres: 	2.2507512045e-01	 
Iteration no:	214	 Ures: 	2.0083893448e-02	 Vres: 	5.6802062987e-01	 Pres: 	2.1338613663e-01	 
Iteration no:	215	 Ures: 	2.0070781562e-02	 Vres: 	5.7110947852e-01	 Pres: 	2.0416257005e-01	 
Iteration no:	216	 Ures: 	2.0013108098e-02	 Vres: 	5.7377052007e-01	 Pres: 	1.9792499806e-01	 
Iteration no:	217	 Ures: 	1.9909396253e-02	 Vres: 	5.7594061080e-01	 Pres: 	1.9499839271e-01	 
Iteration no:	218	 Ures: 	1.9759849917e-02	 Vres: 	5.7756670723e-01	 Pres: 	1.9543660891e-01	 
